"Model Range","Drivetrain Category","country_code","Marketing Chance","Funnel Health","WEB Chancen","Sales Prediction"
"U11","NON-BEV","GB",1,"0","0","0"
"U11","NON-BEV","IT",1,"1","0","0"
"U11","NON-BEV","FR",0,"0","0","0"
"U11","NON-BEV","BELUX",0,"0","0","0"
"U11","NON-BEV","ES",0,"0","0","0"
"U11","NON-BEV","NL",0,"0","0","0"
"U11","NON-BEV","CS",0,"0","0","0"
"U11","NON-BEV","KR",1,"0","0","0"
"U11","NON-BEV","JP",0,"0","0","0"
"U11","NON-BEV","US",0,"0","0","0"
"G20","NON-BEV","DE",0,"0","1","2"
"G20","NON-BEV","GB",0,"0","0","0"
"G20","NON-BEV","IT",0,"0","0","0"
"G20","NON-BEV","FR",0,"0","0","0"
"G20","NON-BEV","BELUX",0,"0","0","0"
"G20","NON-BEV","ES",1,"1","1","2"
"G20","NON-BEV","NL",0,"0","0","0"
"G20","NON-BEV","CS",0,"0","0","0"
"G20","NON-BEV","KR",1,"0","0","0"
"G20","NON-BEV","JP",0,"0","0","0"
"G20","NON-BEV","US",0,"0","0","0"
"G21","NON-BEV","DE",0,"0","0","0"
"G21","NON-BEV","GB",0,"0","0","0"
"G21","NON-BEV","IT",0,"1","NVWR","2"
"G21","NON-BEV","FR",0,"0","0","0"
"G21","NON-BEV","BELUX",0,"0","0","0"
"G21","NON-BEV","ES",0,"0","0","0"
"G21","NON-BEV","NL",1,"1","0","1"
"G21","NON-BEV","CS",0,"0","0","0"
"G21","NON-BEV","KR",0,"0","0","0"
"G21","NON-BEV","JP",0,"0","0","0"
"NA5","BEV","DE",0,"0","0","0"
"NA5","BEV","GB",0,"0","0","0"
"NA5","BEV","IT",0,"0","0","0"
"NA5","BEV","FR",0,"0","0","0"
"NA5","BEV","BELUX",0,"0","0","0"
"NA5","BEV","ES",0,"0","0","0"
"NA5","BEV","NL",1,"1","0","0"
"NA5","BEV","CS",1,"1","0","0"
"NA5","BEV","KR",0,"0","0","0"
"NA5","BEV","JP",0,"0","0","0"
"NA5","BEV","US",0,"0","0","0"
"G45","NON-BEV","DE",0,"1","0","3"
"G45","NON-BEV","GB",1,"1","0","0"
"G45","NON-BEV","IT",0,"0","0","1"
"G45","NON-BEV","FR",1,"1","0","1"
"G45","NON-BEV","BELUX",0,"0","0","0"
"G45","NON-BEV","ES",0,"0","0","2"
"G45","NON-BEV","NL",0,"0","0","1"
"G45","NON-BEV","CS",0,"0","0","0"
"G45","NON-BEV","KR",1,"0","0","0"
"G45","NON-BEV","JP",0,"0","0","0"
"G45","NON-BEV","US",0,"0","0","0"
"G26","BEV","DE",0,"0","0","1"
"G26","BEV","GB",0,"0","0","0"
"G26","BEV","IT",0,"0","0","0"
"G26","BEV","FR",0,"0","0","2"
"G26","BEV","BELUX",0,"1","1","3"
"G26","BEV","ES",0,"0","0","0"
"G26","BEV","NL",1,"1","0","0"
"G26","BEV","CS",0,"1","1","2"
"G26","BEV","KR",0,"0","0","0"
"G26","BEV","JP",0,"0","0","0"
"G26","BEV","US",0,"0","0","0"
"G26","NON-BEV","DE",0,"0","0","0"
"G26","NON-BEV","GB",0,"0","0","0"
"G26","NON-BEV","IT",0,"0","0","0"
"G26","NON-BEV","FR",1,"1","0","0"
"G26","NON-BEV","BELUX",0,"0","0","0"
"G26","NON-BEV","ES",1,"1","0","0"
"G26","NON-BEV","NL",0,"0","0","0"
"G26","NON-BEV","CS",0,"0","0","0"
"G26","NON-BEV","KR",0,"0","0","0"
"G26","NON-BEV","JP",0,"0","0","0"
"G26","NON-BEV","US",0,"1","0","1"
"G60","BEV","DE",0,"0","0","0"
"G60","BEV","GB",0,"1","0","3"
"G60","BEV","IT",0,"0","0","0"
"G60","BEV","FR",0,"0","0","0"
"G60","BEV","BELUX",0,"0","0","0"
"G60","BEV","ES",1,"1","0","0"
"G60","BEV","NL",1,"1","0","0"
"G60","BEV","CS",0,"0","0","0"
"G60","BEV","KR",1,"0","0","0"
"G60","BEV","JP",0,"0","0","0"
"G60","BEV","US",0,"0","0","0"
"G60","NON-BEV","DE",0,"0","0","0"
"G60","NON-BEV","GB",0,"0","0","0"
"G60","NON-BEV","IT",0,"0","0","0"
"G60","NON-BEV","FR",0,"0","0","0"
"G60","NON-BEV","BELUX",0,"0","0","0"
"G60","NON-BEV","ES",1,"1","0","0"
"G60","NON-BEV","NL",0,"0","0","0"
"G60","NON-BEV","CS",0,"0","0","0"
"G60","NON-BEV","KR",1,"0","0","0"
"G60","NON-BEV","JP",0,"0","0","0"
"G60","NON-BEV","US",0,"0","0","0"
"G61","BEV","DE",0,"0","0","3"
"G61","BEV","GB",0,"1","1","3"
"G61","BEV","IT",0,"0","0","0"
"G61","BEV","FR",0,"0","0","0"
"G61","BEV","BELUX",1,"1","0","0"
"G61","BEV","ES",0,"0","0","0"
"G61","BEV","NL",0,"0","0","0"
"G61","BEV","CS",1,"1","0","1"
"G61","BEV","KR",0,"0","0","0"
"G61","BEV","JP",0,"0","0","0"
"G61","NON-BEV","DE",0,"0","0","0"
"G61","NON-BEV","GB",0,"0","0","0"
"G61","NON-BEV","IT",0,"1","0","1"
"G61","NON-BEV","FR",1,"1","0","0"
"G61","NON-BEV","BELUX",1,"1","0","0"
"G61","NON-BEV","ES",1,"1","0","0"
"G61","NON-BEV","NL",1,"1","0","0"
"G61","NON-BEV","CS",0,"0","0","0"
"G61","NON-BEV","KR",0,"0","0","0"
"G61","NON-BEV","JP",0,"0","0","0"
"I20","BEV","DE",0,"0","0","0"
"I20","BEV","GB",1,"1","1","1"
"I20","BEV","IT",0,"0","0","0"
"I20","BEV","FR",0,"0","0","0"
"I20","BEV","BELUX",0,"0","0","0"
"I20","BEV","ES",0,"0","0","0"
"I20","BEV","NL",0,"0","0","0"
"I20","BEV","CS",1,"1","0","0"
"I20","BEV","KR",0,"0","0","0"
"I20","BEV","JP",0,"0","0","0"
"I20","BEV","US",0,"0","0","0"
"G05","NON-BEV","DE",0,"0","0","3"
"G05","NON-BEV","GB",1,"0","0","0"
"G05","NON-BEV","IT",0,"0","0","0"
"G05","NON-BEV","FR",0,"0","0","0"
"G05","NON-BEV","BELUX",0,"0","0","0"
"G05","NON-BEV","ES",1,"1","0","2"
"G05","NON-BEV","NL",1,"1","0","0"
"G05","NON-BEV","CS",0,"0","0","0"
"G05","NON-BEV","KR",1,"0","0","0"
"G05","NON-BEV","JP",0,"0","0","0"
"G05","NON-BEV","US",0,"0","0","0"
"G70","BEV","DE",0,"0","0","0"
"G70","BEV","GB",0,"0","0","0"
"G70","BEV","IT",0,"0","0","0"
"G70","BEV","FR",0,"0","0","0"
"G70","BEV","BELUX",0,"0","0","0"
"G70","BEV","ES",0,"0","0","0"
"G70","BEV","NL",1,"1","0","0"
"G70","BEV","CS",0,"0","0","0"
"G70","BEV","KR",0,"0","0","0"
"G70","BEV","JP",0,"0","0","0"
"G70","BEV","US",0,"0","0","0"
"G70","NON-BEV","DE",0,"0","0","0"
"G70","NON-BEV","GB",0,"0","0","0"
"G70","NON-BEV","IT",0,"0","0","0"
"G70","NON-BEV","FR",0,"0","0","0"
"G70","NON-BEV","BELUX",0,"0","0","0"
"G70","NON-BEV","ES",0,"0","0","0"
"G70","NON-BEV","NL",1,"1","0","0"
"G70","NON-BEV","CS",0,"0","0","0"
"G70","NON-BEV","KR",0,"0","0","0"
"G70","NON-BEV","JP",0,"0","0","0"
"G70","NON-BEV","US",0,"0","0","0"
"G09","NON-BEV","DE",0,"0","0","1"
"G09","NON-BEV","GB",0,"0","0","0"
"G09","NON-BEV","IT",0,"0","0","0"
"G09","NON-BEV","FR",1,"1","0","0"
"G09","NON-BEV","BELUX",0,"0","0","0"
"G09","NON-BEV","ES",0,"0","0","0"
"G09","NON-BEV","NL",1,"1","0","0"
"G09","NON-BEV","CS",0,"0","0","0"
"G09","NON-BEV","KR",0,"0","0","0"
"G09","NON-BEV","JP",0,"0","0","0"
"G09","NON-BEV","US",0,"0","0","0"
"G07","NON-BEV","DE",0,"0","0","0"
"G07","NON-BEV","GB",1,"0","0","0"
"G07","NON-BEV","IT",0,"0","0","0"
"G07","NON-BEV","FR",0,"0","0","0"
"G07","NON-BEV","BELUX",1,"1","0","0"
"G07","NON-BEV","ES",0,"0","0","0"
"G07","NON-BEV","NL",1,"1","0","0"
"G07","NON-BEV","CS",0,"0","0","0"
"G07","NON-BEV","KR",1,"0","0","0"
"G07","NON-BEV","JP",0,"0","0","0"
"G07","NON-BEV","US",0,"0","0","0"
