"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","GKL+","7 Series","G70","BEV","41EJ",,1
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","GKL+","7 Series","G70","BEV","41EJ",69,60
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","GKL+","7 Series","G70","BEV","41EJ",,1
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","GKL+","7 Series","G70","BEV","41EJ",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","GKL+","7 Series","G70","BEV","41EJ",,
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","GKL+","7 Series","G70","BEV","41EJ",,60
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","X5","G05","NON-BEV","41EU",,17
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","X5","G05","NON-BEV","41EU",,
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,5
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","X5","G05","NON-BEV","41EU",,73
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,9
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","X5","G05","NON-BEV","41EU",188,183
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","X5","G05","NON-BEV","41EU",,29
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","MKL+","X5","G05","NON-BEV","41EU",,70
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,2
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,24
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","X5","G05","NON-BEV","41EU",,24
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","MKL+","X5","G05","NON-BEV","41EU",,107
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,13
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,17
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,5
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,4
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","X5","G05","NON-BEV","41EU",,60
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","X5","G05","NON-BEV","41EU",,10
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,8
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","X5","G05","NON-BEV","41EU",,26
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,3
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","X5","G05","NON-BEV","41EU",354,385
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","X5","G05","NON-BEV","41EU",,40
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","MKL+","X5","G05","NON-BEV","41EU",,55
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,1
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,10
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","X5","G05","NON-BEV","41EU",,54
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","MKL+","X5","G05","NON-BEV","41EU",,260
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,8
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,15
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,4
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","X5","G05","NON-BEV","41EU",,5
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","MKL+","X5","G05","NON-BEV","41EU",,180
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","X6","G06","NON-BEV","41EX",,2
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,3
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","X6","G06","NON-BEV","41EX",9,5
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","X6","G06","NON-BEV","41EX",,3
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,3
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","X6","G06","NON-BEV","41EX",,4
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,3
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,1
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","X6","G06","NON-BEV","41EX",,1
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,1
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","X6","G06","NON-BEV","41EX",11,5
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","X6","G06","NON-BEV","41EX",,4
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,2
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","X6","G06","NON-BEV","41EX",,5
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,1
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","X6","G06","NON-BEV","41EX",,
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","MKL+","X6","G06","NON-BEV","41EX",,8
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","KKL+","4 Series","G26","NON-BEV","41FB",,101
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,1
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,3
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,1
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FF",,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","5 Series","G60","BEV","41FK",,2
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","5 Series","G60","BEV","41FK",2,4
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","5 Series","G60","BEV","41FK",,1
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","5 Series","G60","BEV","41FK",,1
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","5 Series","G60","BEV","41FK",,2
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","5 Series","G60","BEV","41FK",,2
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","5 Series","G60","BEV","41FK",,1
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","MKL+","5 Series","G60","BEV","41FK",1,
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","MKL+","5 Series","G60","BEV","41FK",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Retail - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","MKL+","5 Series","G60","BEV","41FK",,
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","MKL+","5 Series","G60","NON-BEV","41FL",,90
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G22","NON-BEV","41FN",2,3
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,7
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,1
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,6
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,3
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G22","NON-BEV","41FN",3,5
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,13
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G22","NON-BEV","41FN",,7
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,2
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,18
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G23","NON-BEV","41FP",22,28
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,2
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,15
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,11
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G23","NON-BEV","41FP",30,52
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,5
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,4
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,2
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","KKL+","4 Series","G23","NON-BEV","41FP",,1
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,7
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G26","NON-BEV","41FR",8,30
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,34
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,2
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,9
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,2
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,1
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,1
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","4 Series","G26","NON-BEV","41FR",9,17
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,53
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,6
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","4 Series","G26","NON-BEV","41FR",,9
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,1
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,2
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,7
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","KKL+","3 Series","G20","NON-BEV","41FU",,6
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","3 Series","G21","NON-BEV","41FY",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","3 Series","G21","NON-BEV","41FY",,1
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","3 Series","G21","NON-BEV","41FY",,6
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,3
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,17
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",66,11
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,3
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,5
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,7
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,16
"Order Intake - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,5
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,48
"Retail - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Retail - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",105,38
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,7
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,1
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,2
"Retail - All","2026-06-01 00:00:00","C1","RO","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,
"Retail - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","2 Series","F74","NON-BEV","41GG",,2
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41GK",,
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G20","NON-BEV","41GK",,
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,2
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,6
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","3 Series","G21","NON-BEV","41GL",60,87
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,19
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,1
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,26
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,21
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,1
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,2
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","KKL+","3 Series","G21","NON-BEV","41GL",81,42
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,22
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,12
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,126
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","KKL+","3 Series","G21","NON-BEV","41GL",,1
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","UKL2+","X2","U10","NON-BEV","41GM",,72
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X2","U10","NON-BEV","41GN",,5
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X2","U10","NON-BEV","41GN",,3
"Order Intake - All","2026-06-01 00:00:00","C1","CZ","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,1
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X2","U10","NON-BEV","41GN",4,4
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X2","U10","NON-BEV","41GN",,199
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X2","U10","NON-BEV","41GN",,5
"Order Intake - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,1
"Order Intake - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,3
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X2","U10","NON-BEV","41GN",,45
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,10
"Order Intake - All","2026-06-01 00:00:00","C1","SI","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,4
"Order Intake - All","2026-06-01 00:00:00","C1","SK","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,2
"Retail - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","X2","U10","NON-BEV","41GN",,1
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","X2","U10","NON-BEV","41GN",,
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","X2","U10","NON-BEV","41GN",10,5
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","X2","U10","NON-BEV","41GN",,604
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","X2","U10","NON-BEV","41GN",,28
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,1
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,3
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","X2","U10","NON-BEV","41GN",,46
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","X2","U10","NON-BEV","41GN",,13
"Retail - All","2026-06-01 00:00:00","C3","KR","KOREA","BMW","KKL+","X3","G45","NON-BEV","41GP",,472
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","MKL+","5 Series","G61","NON-BEV","41GV",,10
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","MKL+","5 Series","G61","NON-BEV","41GV",,
"Order Intake - All","2026-06-01 00:00:00","C1","BG","CEEU","BMW","MKL+","5 Series","G61","NON-BEV","41GV",,1
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","MKL+","5 Series","G61","NON-BEV","41GV",,6
