"KPI","Date","Region","Country Code","Market","Brand","Segment","Series","Model Range","Drivetrain Category","Model Code","Value Actual","Benchmark"
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,1
"Order Intake - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,2
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",11,6
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,6
"Order Intake - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,8
"Order Intake - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Retail - All","2026-06-01 00:00:00","C1","BE","BELGIUM/LUXEMBOURG","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Retail - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,2
"Retail - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",10,14
"Retail - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,3
"Retail - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Retail - All","2026-06-01 00:00:00","C1","GR","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,
"Retail - All","2026-06-01 00:00:00","C1","HU","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,
"Retail - All","2026-06-01 00:00:00","C1","IT","ITALY","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Retail - All","2026-06-01 00:00:00","C1","NL","NETHERLANDS","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,7
"Retail - All","2026-06-01 00:00:00","C1","PL","CEEU","BMW","UKL2+","2 Series","G42","NON-BEV","11CM",,4
"Order Intake - All","2026-06-01 00:00:00","C1","AT","AUSTRIA","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,1
"Order Intake - All","2026-06-01 00:00:00","C1","CH","SWITZERLAND","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,
"Order Intake - All","2026-06-01 00:00:00","C1","DE","GERMANY","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",2,2
"Order Intake - All","2026-06-01 00:00:00","C1","ES","SPAIN","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,7
"Order Intake - All","2026-06-01 00:00:00","C1","FR","FRANCE","BMW","UKL2+","2 Series","G42","NON-BEV","11CN",,2
